,HDSI_author,year,category_for
83,"Ery, Arias-Castro ",2020,"['09 Engineering', '1117 Public Health and Health Services', '0906 Electrical and Electronic Engineering', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
84,"Ery, Arias-Castro ",2021,"['10 Technology', '1005 Communications Technologies', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '0906 Electrical and Electronic Engineering', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0803 Computer Software', '08 Information and Computing Sciences', '0915 Interdisciplinary Engineering']"
85,Frank Wuerthwein,2016,"['0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
86,Frank Wuerthwein,2017,"['0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics', '0204 Condensed Matter Physics', '02 Physical Sciences', '0299 Other Physical Sciences']"
87,Frank Wuerthwein,2018,"['0803 Computer Software', '08 Information and Computing Sciences']"
88,Frank Wuerthwein,2019,"['0803 Computer Software', '08 Information and Computing Sciences']"
89,Frank Wuerthwein,2020,"['03 Chemical Sciences', '0302 Inorganic Chemistry', '0801 Artificial Intelligence and Image Processing', '0307 Theoretical and Computational Chemistry', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
90,Frank Wuerthwein,2021,"['0803 Computer Software', '08 Information and Computing Sciences']"
91,Gal Mishne,2016,"['10 Technology', '1005 Communications Technologies', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '08 Information and Computing Sciences']"
92,Gal Mishne,2017,"['1112 Oncology and Carcinogenesis', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
93,Gal Mishne,2018,"['0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
94,Gal Mishne,2019,"['0102 Applied Mathematics', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '08 Information and Computing Sciences']"
95,Gal Mishne,2020,"['1701 Psychology', '0102 Applied Mathematics', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '17 Psychology and Cognitive Sciences', '0104 Statistics', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
96,Gal Mishne,2021,"['1701 Psychology', '0102 Applied Mathematics', '0804 Data Format', '1117 Public Health and Health Services', '1109 Neurosciences', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '0802 Computation Theory and Mathematics', '0806 Information Systems', '08 Information and Computing Sciences']"
97,George Sugihara,2016,"['0602 Ecology', '06 Biological Sciences', '0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '0704 Fisheries Sciences', '11 Medical and Health Sciences', '05 Environmental Sciences', '0502 Environmental Science and Management', '07 Agricultural and Veterinary Sciences', '08 Information and Computing Sciences']"
98,George Sugihara,2017,"['0602 Ecology', '06 Biological Sciences', '0405 Oceanography', '0608 Zoology', '04 Earth Sciences']"
